crew,GoldLink,1
Everyday,A$AP Rocky,1
Wunna,Gunna,1
Hello,Adele,0
Save The World,metro boomin,1
Money Trees,Kendrick Lamar,1
Sing About me Im dying of thirst,Kendrick Lamar,1
ms jackson,outkast,1
shoop,salt-n-pepa,1
lesbian,metro boomin,1
changes,a$ap rocky,1
drunk,schoolboy q,1
bodak yellow,cardi b,0
potato salad,tyler the creator,1
were good,dua lipa,0
swimming pools,kendrick lamar,1
earfquake,tyler the creator,0
franchise,travis scott,0
mazza,slowthai,0
ski,young thug,0
the motto,drake,1
GOOBA,6ix9ine,0
under the sun,dreamville,1
leave the door open,bruno mars,0
oldie,odd future,1
walk it talk it,migos,1
sunflower,post malone,0
feels like summer,childish gambino,0
go loko,yg,1
deep reverence,big sean,0
I fall apart,post malone,1
new rules,dua lipa,0
congratulations,post malone,1
tony tone,a$ap rocky,1
these walls,kendrick lamar,0
atm,j. cole,0
unforgettable,french montana,1
no stylist, french montana,0
sweatpants, childish gambino,1
Up,Cardi B,0
sky walker,miguel,0
peaches,justin bieber,0
location,khalid,1
often,the weekend,0
taco tuesday,migos,0
save your tears,the weekend,0
wake up in the sky,gucci mane,1
go crazy,chris brown,0
selfish love,DJ snake,0
afterglow,ed sheeran,0
